name,year,fall,mass,reclat,reclong
Beyrout,1921.0,Fell,1100.0,33.88333,35.5
Bhagur,1877.0,Fell,18.0,20.88333,74.83333
Bhawad,2002.0,Fell,678.0,26.50833,73.11528
Bherai,1893.0,Fell,100.0,20.83333,71.46667
Bhola,1940.0,Fell,1047.0,22.68333,90.65
Bholghati,1905.0,Fell,2500.0,22.08333,86.9
Bialystok,1827.0,Fell,4000.0,53.1,23.2
Bielokrynitschie,1887.0,Fell,1900.0,50.13333,27.16667
Bilanga,1999.0,Fell,25000.0,12.45,-0.08333
Binningup,1984.0,Fell,488.1,-33.15639,115.67639
Birni N'konni,1923.0,Fell,560.0,13.76667,5.3
Bishopville,1843.0,Fell,6000.0,34.16667,-80.28333
Bishunpur,1895.0,Fell,1039.0,25.38333,82.6
Bjelaja Zerkov,1796.0,Fell,1850.0,49.78333,30.16667
Bjurböle,1899.0,Fell,330000.0,60.4,25.8
Black Moshannan Park,1941.0,Fell,705.0,40.91667,-78.08333
Blackwell,1906.0,Fell,2381.0,36.83333,-97.33333
Blanket,1909.0,Fell,5100.0,31.83333,-98.83333
Blansko,1833.0,Fell,470.0,49.36667,16.63333
Bloomington,1938.0,Fell,67.8,40.48,-89.00417
Bo Xian,1977.0,Fell,7500.0,33.83333,115.83333
Bocas,1804.0,Fell,56.0,23.0,-102.0
Bogou,1962.0,Fell,8800.0,12.5,0.7
Boguslavka,1916.0,Fell,256000.0,44.55,131.63333
Borgo San Donino,1808.0,Fell,1676.0,44.86667,10.05
Bori,1894.0,Fell,8600.0,21.95,78.03333
Boriskino,1930.0,Fell,1342.0,54.23333,52.48333
Borkut,1852.0,Fell,7000.0,48.15,24.28333
Borodino,1812.0,Fell,500.0,55.46667,35.86667
Botschetschki,1823.0,Fell,614.0,51.33333,33.88333
Boumdeid (2003),2003.0,Fell,190.0,17.71067,-11.3715
Boumdeid (2011),2011.0,Fell,3599.0,17.17493,-11.34133
Bovedy,1969.0,Fell,5460.0,54.56667,-6.33333
Bradford Woods,1886.0,Fell,762.0,40.5,-80.08333
Braunau,1847.0,Fell,39000.0,50.6,16.3
Breitscheid,1956.0,Fell,1500.0,50.66694,8.18361
Bremervörde,1855.0,Fell,7250.0,53.4,9.1
Brient,1933.0,Fell,219.0,52.13333,59.31667
Bruderheim,1960.0,Fell,303000.0,53.9,-112.88333
Bukhara,2001.0,Fell,5300.0,39.77978,64.60035
Bulls Run,1964.0,Fell,2250.0,,
Bunburra Rockhole,2007.0,Fell,324.0,-31.35,129.19
Bununu,1942.0,Fell,357.0,10.01667,9.58333
Bur-Gheluai,1919.0,Fell,120000.0,5.0,48.0
Burnwell,1990.0,Fell,1504.0,37.62194,-82.23722
Bursa,1946.0,Fell,25000.0,40.2,29.23333
Buschhof,1863.0,Fell,5000.0,46.45,25.78333
Bustee,1852.0,Fell,1500.0,26.78333,82.83333
Butsura,1861.0,Fell,29000.0,27.08333,84.08333
Buzzard Coulee,2008.0,Fell,41000.0,52.996,-109.84817
Cabezo de Mayo,1870.0,Fell,25000.0,37.98333,-1.16667
Cabin Creek,1886.0,Fell,48500.0,35.5,-93.5
Cacak,1919.0,Fell,212.0,43.83889,20.33333
Cali,2007.0,Fell,478.0,3.405,-76.51
Calivo,1916.0,Fell,2400.0,11.75,122.33333
Campos Sales,1991.0,Fell,23680.0,-7.03333,-40.16667
Çanakkale,1964.0,Fell,4000.0,39.8,26.6
Cañellas,1861.0,Fell,945.0,41.25,1.66667
Cangas de Onis,1866.0,Fell,34000.0,43.38333,-5.15
Canon City,1973.0,Fell,1400.0,38.47028,-105.24139
Cape Girardeau,1846.0,Fell,2300.0,37.26667,-89.58333
Capilla del Monte,1934.0,Fell,750.0,-30.88333,-64.55
Carancas,2007.0,Fell,342.0,-16.66444,-69.04389
Caratash,1902.0,Fell,8.0,38.5,27.0
Castalia,1874.0,Fell,7300.0,36.08333,-78.06667
Castel Berardenga,1791.0,Fell,,43.35,11.5
Castine,1848.0,Fell,94.0,44.38333,-68.75
Castrovillari,1583.0,Fell,15000.0,39.8,16.2
Caswell County,1810.0,Fell,1360.0,36.5,-79.25
Ceniceros,1988.0,Fell,1025.0,26.46667,-105.23333
Centerville,1956.0,Fell,45.6,43.2,-96.91667
Cereseto,1840.0,Fell,6460.0,45.08333,8.3
Chadong,1998.0,Fell,3700.0,28.53333,109.31667
Chail,1814.0,Fell,0.5,25.36667,81.66667
Chainpur,1907.0,Fell,8200.0,25.85,83.48333
Chajari,1933.0,Fell,18300.0,-30.78333,-58.05
Chandakapur,1838.0,Fell,8800.0,20.26667,76.01667
Chandpur,1885.0,Fell,1100.0,27.28333,79.05
Changde,1977.0,Fell,1810.0,29.08333,111.75
Chantonnay,1812.0,Fell,31500.0,46.68333,1.05
Charlotte,1835.0,Fell,4300.0,36.16667,-87.33333
Charsonville,1810.0,Fell,27000.0,47.93333,1.56667
Charwallas,1834.0,Fell,12000.0,29.48333,75.5
Chassigny,1815.0,Fell,4000.0,47.71667,5.36667
Château-Renard,1841.0,Fell,30000.0,47.93333,2.91667
Chaves,1925.0,Fell,2945.0,41.93333,-7.46667
Chela,1988.0,Fell,2936.0,-3.66667,32.5
Chelyabinsk,2013.0,Fell,100000.0,54.81667,61.11667
Chergach ,2007.0,Fell,100000.0,23.69639,-5.01472
Chernyi Bor,1964.0,Fell,6000.0,53.7,30.1
Cherokee Springs,1933.0,Fell,8400.0,35.03333,-81.88333
Chervettaz,1901.0,Fell,705.0,46.55,6.81667
Chervony Kut,1939.0,Fell,1700.0,50.83333,34.0
Chetrinahatti,1880.0,Fell,72.0,14.5,76.5
Chiang Khan,1981.0,Fell,367.0,17.9,101.63333
Chicora,1938.0,Fell,303.0,40.93333,-79.73333
Chisenga,1988.0,Fell,3920.0,-10.05944,33.395
Chitado,1966.0,Fell,,-17.35,13.96667
Chitenay,1978.0,Fell,4000.0,47.47083,0.97667
Cilimus,1979.0,Fell,1600.0,-6.95,108.1
Claxton,1984.0,Fell,1455.0,32.1025,-81.87278
Clohars,1822.0,Fell,48.6,,
Colby (Wisconsin),1917.0,Fell,104000.0,44.9,-90.28333
Cold Bokkeveld,1838.0,Fell,5200.0,-33.13333,19.38333
Coleman,1994.0,Fell,469.0,43.76111,-84.50778
Collescipoli,1890.0,Fell,5000.0,42.53333,12.61667
Conquista,1965.0,Fell,20350.0,-19.85,-47.55
Cosina,1844.0,Fell,1200.0,21.16667,-100.86667
Cranganore,1917.0,Fell,1460.0,10.2,76.26667
Crescent,1936.0,Fell,78.4,35.95,-97.58333
Cronstad,1877.0,Fell,3650.0,-27.7,27.3
Cross Roads,1892.0,Fell,167.0,35.63333,-78.13333
Crumlin,1902.0,Fell,4255.0,54.61667,-6.21667
Cumberland Falls,1919.0,Fell,17000.0,36.83333,-84.35
Cynthiana,1877.0,Fell,6000.0,38.4,-84.25
Dahmani,1981.0,Fell,18000.0,35.61667,8.83333
Dandapur,1878.0,Fell,5650.0,26.91667,83.96667
Daniel's Kuil,1868.0,Fell,1064.0,-28.2,24.56667
Danville,1868.0,Fell,2000.0,34.4,-87.06667
Darmstadt,1804.0,Fell,100.0,49.86667,8.65
Dashoguz,1998.0,Fell,7000.0,41.98444,59.685
Daule,2008.0,Fell,6580.0,-1.87089,-79.95756
De Cewsville,1887.0,Fell,340.0,43.0,-80.0
Deal,1829.0,Fell,28.0,40.25,-74.0
Delhi,1897.0,Fell,0.8,28.56667,77.25
Demina,1911.0,Fell,16400.0,51.46667,84.76667
Denver,1967.0,Fell,230.0,39.7825,-104.93056
Dergaon,2001.0,Fell,12500.0,26.68333,93.86667
Desuri,1962.0,Fell,25400.0,25.73333,73.61667
