Residential,Commercial,Industrial,Total,dates
3527200.0,2877900.0,2860000.0,9559700.0,1997-07-01
,2797100.0,2948900.0,9487700.0,1997-08-01
3159100.0,2813800.0,3007100.0,9289050.0,1997-09-01
2712100.0,2595700.0,2871600.0,8474600.0,1997-10-01
2666800.0,2430400.0,2844114.0,8226700.0,1997-11-01
,2440900.0,2718700.0,8521600.0,1997-12-01
3308000.0,2481883.0,2674000.0,8741100.0,1998-01-01
3091200.0,2570600.0,2962000.0,8898200.0,1998-02-01
2773000.0,2403800.0,2738500.0,8180500.0,1998-03-01
2471500.0,2425800.0,,7980600.0,1998-04-01
2499400.0,,2894400.0,8177600.0,1998-05-01
3283000.0,2891700.0,3005100.0,9472500.0,1998-06-01
3920600.0,3038000.0,2874400.0,10120000.0,1998-07-01
3881600.0,3083200.0,3021500.0,10289000.0,1998-08-01
3555800.0,3037000.0,2992300.0,9909400.0,1998-09-01
2800100.0,2660300.0,2848300.0,8592600.0,1998-10-01
2565100.0,2549600.0,2918400.0,8327300.0,1998-11-01
2988000.0,2536800.0,2825200.0,8621900.0,1998-12-01
3587100.0,2598900.0,2692800.0,9156000.0,1999-01-01
3095129.0,2668800.0,2913500.0,8975100.0,1999-02-01
2884600.0,2483200.0,2769800.0,8413100.0,1999-03-01
2575400.0,2517900.0,2859400.0,8227300.0,1999-04-01
2488800.0,2547800.0,2893400.0,8209500.0,1999-05-01
3198000.0,2952200.0,3033100.0,9484500.0,1999-06-01
3972500.0,3171200.0,2989700.0,10454000.0,1999-07-01
4001000.0,3120100.0,2992400.0,10419000.0,1999-08-01
3470500.0,3013800.0,3022300.0,9828400.0,1999-09-01
2664500.0,2698400.0,2898300.0,8558700.0,1999-10-01
2608800.0,2562400.0,2951100.0,8415400.0,1999-11-01
3068600.0,2602400.0,2784900.0,8728700.0,1999-12-01
3535800.0,2693300.0,2776200.0,9292100.0,2000-01-01
3398700.0,2768200.0,2920200.0,9384400.0,2000-02-01
2729800.0,2603500.0,2853900.0,8460700.0,2000-03-01
2539900.0,2606200.0,2882400.0,8299200.0,2000-04-01
2688300.0,2784900.0,2918700.0,8680800.0,2000-05-01
3466200.0,,3069200.0,9990900.0,2000-06-01
3853700.0,3181200.0,2897600.0,10246000.0,2000-07-01
